"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"ade4","ade4","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.7-18",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils, MASS, pixmap, sp",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"adegenet","adegenet","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.5",NA,"R (>= 2.14), methods, ade4","utils, stats, grDevices, MASS, igraph, ape, shiny, ggplot2,
seqinr, parallel, boot, reshape2, dplyr (>= 0.4.1), vegan",NA,"adespatial, pegas, hierfstat, akima, maps, spdep, splancs,
tripack, testthat, poppr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"adegraphics","adegraphics","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-16",NA,"R (>= 3.0.2)","ade4 (>= 1.7-13), graphics, grid, KernSmooth, lattice,
latticeExtra, methods, RColorBrewer, sp (>= 1.1-1), stats",NA,"Guerry, knitr, maptools, pixmap, rmarkdown, markdown, spdep,
splancs",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"adehabitatHR","adehabitatHR","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.19",NA,"R (>= 3.0.1), sp, methods, deldir, ade4, adehabitatMA,
adehabitatLT","graphics, grDevices, stats",NA,"maptools, tkrplot, MASS, rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"adehabitatLT","adehabitatLT","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.25",NA,"R (>= 2.10.0), sp, methods, ade4, adehabitatMA, CircStats,
stats","graphics, grDevices, utils",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"adehabitatMA","adehabitatMA","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.14",NA,"R (>= 2.10.0), sp, methods","utils, graphics, grDevices, stats, filehash",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"adephylo","adephylo","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-11",NA,"methods, ade4 (>= 1.7-10)","phylobase, ape, adegenet",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"adespatial","adespatial","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3-16",NA,NA,"ade4 (>= 1.7-13), adegraphics, adephylo, sp, spdep, lattice,
methods, grDevices, graphics, MASS, stats, utils, shiny, vegan",NA,"knitr, rgeos, maptools, ape, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"admisc","admisc","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.26",NA,"R (>= 3.5.0)","methods",NA,"QCA (>= 3.7)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"AER","AER","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2-9",NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.5"
"afex","afex","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-0",NA,"R (>= 3.5.0), lme4 (>= 1.1-8)","pbkrtest (>= 0.4-1), lmerTest (>= 3.0-0), car, reshape2,
stats, methods, utils",NA,"emmeans (>= 1.4), coin, xtable, parallel, plyr, optimx,
nloptr, knitr, rmarkdown, R.rsp, lattice, latticeExtra,
multcomp, testthat, mlmRev, dplyr, tidyr, dfoptim, Matrix,
psychTools, ggplot2, MEMSS, effects, carData, ggbeeswarm, nlme,
cowplot, jtools, ggpubr, ggpol, MASS, glmmTMB, brms, rstanarm,
statmod, performance (>= 0.7.2), see (>= 0.6.4), ez,
ggResidpanel",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"AICcmodavg","AICcmodavg","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.3-1",NA,"R (>= 3.2.0)","methods, stats, graphics, lattice, MASS, Matrix, nlme, stats4,
survival, unmarked, VGAM, xtable",NA,"betareg, coxme, fitdistrplus, glmmTMB, lavaan, lme4, maxlike,
nnet, ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS, jagsUI,
lmerTest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"akima","akima","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.6-3.4",NA,"R (>= 2.0.0)","sp",NA,NA,"tripack","ACM | file LICENSE",NA,"yes",NA,NA,"yes","4.0.5"
"animation","animation","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.7",NA,"R (>= 2.14.0)","magick",NA,"MASS, class, testit",NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"anytime","anytime","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"aoristic","aoristic","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.0",NA,"R (>= 2.10)","openxlsx, ggplot2, grid, lubridate, plyr, scales, tidyr,
dplyr, stats",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"ape","ape","C:/Users/sarah.salois/Documents/r/win-library/4.0","5.6-2",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"arm","arm","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.13-1",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.0.5"
"askpass","askpass","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.4"
"assertthat","assertthat","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"astsa","astsa","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.14",NA,"R (>= 3.5)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"automap","automap","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-16",NA,"R (>= 2.10.0), sp (>= 0.9-55)","gstat, lattice, reshape, methods, ggplot2, maptools",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.5"
"backports","backports","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"base64enc","base64enc","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"BBmisc","BBmisc","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.12",NA,NA,"checkmate (>= 1.8.0), data.table, methods, utils, stats",NA,"testthat, microbenchmark, codetools",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"berryFunctions","berryFunctions","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.21.2",NA,NA,"grDevices, graphics, stats, utils, abind",NA,"RColorBrewer, pbapply, knitr, rmarkdown, gstat, RCurl,
colorspace, vioplot, spatstat.geom, TeachingDemos, ade4,
nortest, rstudioapi",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"betapart","betapart","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5.6",NA,NA,"ape, fastmatch, geometry, picante, rcdd, doSNOW, foreach,
snow, itertools",NA,"vegan",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"bezier","bezier","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"BH","BH","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.78.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.5"
"BiocManager","BiocManager","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.30.16",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.5"
